movieId,Title,Name,Genres,Poster Path
147,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",https://image.tmdb.org/t/p/w500/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
148,The Outrun,The Outrun,Drama,https://image.tmdb.org/t/p/w500/zfRR2CkbvYrLuOPQFm8vBaENyMy.jpg
149,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
150,The Super Mario Bros. Movie,The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy",https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
151,28 Days Later,28 Days Later,"Horror, Thriller, Science Fiction",https://image.tmdb.org/t/p/w500/sQckQRt17VaWbo39GIu0TMOiszq.jpg
152,1978,1978,"Horror, Thriller, Drama",https://image.tmdb.org/t/p/w500/zn7oyy7KTlC01XD3pUn82V9Od0P.jpg
153,Megalopolis,Megalopolis,"Science Fiction, Drama",https://image.tmdb.org/t/p/w500/8Sok3HNA3r1GHnK2lCytHyBz1A.jpg
154,The Red Virgin,La virgen roja,"Drama, History, Thriller",https://image.tmdb.org/t/p/w500/rWI9nlFB1bMWlU7xExJ4WmkQUyV.jpg
155,Monster Summer,Monster Summer,"Adventure, Fantasy, Mystery, Horror",https://image.tmdb.org/t/p/w500/zD2UZkh0DwbDEMuOKIR7jgwgulZ.jpg
156,Zuzubalândia - O Filme,Zuzubalândia - O Filme,Animation,https://image.tmdb.org/t/p/w500/e2Pw52A1Ada5SoEy3hxQeCoNW6G.jpg
157,Dragonkeeper,Dragonkeeper,"Action, Adventure, Animation, Family, Fantasy",https://image.tmdb.org/t/p/w500/ggZGnJLzO3BTu7ysuuIzou3Oex5.jpg
158,Titanic,Titanic,"Drama, Romance",https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
159,The Silent Hour,The Silent Hour,"Crime, Thriller, Action",https://image.tmdb.org/t/p/w500/j736cRzBtEPCm0nHnpRN1prqiqj.jpg
160,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
161,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
162,The Lion King,The Lion King,"Animation, Adventure, Drama, Family",https://image.tmdb.org/t/p/w500/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg
163,Prey,Prey,"Action, Thriller, Horror",https://image.tmdb.org/t/p/w500/aOsPclgSiOqhndI2Xp2ksz2g9n6.jpg
164,Civil War,Civil War,"War, Action, Drama",https://image.tmdb.org/t/p/w500/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg
165,Below Her Mouth,Below Her Mouth,"Drama, Romance",https://image.tmdb.org/t/p/w500/nTGbq37hYLuNy7YgMg0gVLma0NS.jpg
166,Inside Out,Inside Out,"Animation, Family, Adventure, Drama, Comedy",https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
